rank,id,smiles,fit_score,n_hits
21671,F8880-0200,Cc1cc(Br)cc2ccc(=O)[nH]c12,0.1617731908361097,1
21672,F6619-0522,Nc1ccc(CN[C@@H]2CC[C@H]2O)cc1,0.1617708146912425,2
21673,F1919-8726,Cc1cc(NC2CCNCC2)ccc1Cl,0.16176816191127852,2
21674,F1922-5154,O=C(O)C1CC1C1CC1c1ccccc1Br,0.16176727642572725,1
21675,F1922-5987,Cc1ccc2c(c1)C(=[N+]=[N-])C(=O)N2C,0.16176219544853285,1
21676,F1911-7479,CCOC(=O)c1ccnc(-c2ccco2)n1,0.1617585154128824,1
21677,F2198-4625,Cc1[nH]nc(C(F)(F)F)c1CN=[N+]=[N-],0.1617581809611403,1
21678,F2197-3796,c1cncc(-c2nccnc2OC2CCNCC2)c1,0.16175702345792653,2
21679,F2198-3292,CCc1[nH]nc(-c2cccs2)c1CNC,0.16175091337185782,1
21680,F2198-3066,Cc1[nH]nc(-c2ccncc2)c1CCN,0.16174905476307336,1
21681,F1967-5146,CNc1cc(N2CC(O)C2)nc(C2CC2)n1,0.16174900408091475,1
21682,F0915-7969,Nc1nc(N)n(-c2ccccc2)n1,0.1617469078340268,1
21683,F1921-0236,N[C@H]1c2cccc(Br)c2C[C@H]1O,0.16174662766445574,1
21684,F1916-2017,O=C(O)c1nccn2c(C(F)(F)F)nnc12,0.1617371832237263,1
21685,F1916-9148,CSc1ccccc1NC(=O)CCl,0.16173652127152502,2
21686,F1913-6787,COC1(c2ncc(C(=O)O)s2)CCC1,0.16173589823797158,1
21687,F2190-0027,COCC(=O)Cl,0.16172361360118692,1
21688,F1911-7667,Cc1c(C2CCCC2)nc2ccc(Cl)nn12,0.16172304678522728,1
21689,F1916-4449,CC(C)Oc1cc(Br)ccc1C=O,0.16172239479846753,1
21690,F1903-6838,COCc1ncnc(N2CC(C(=O)OC)C2)c1F,0.16172068975137424,1
21691,F1913-4122,BrCCOc1cccc(C2CC2)c1,0.16172054870702351,2
21692,F1916-0236,CCCCCCCCCCC(O)C(=O)O,0.16171939633689042,1
21693,F2198-4617,Cc1[nH]nc(C(F)(F)F)c1C#N,0.16171610479561563,1
21694,F2167-9982,Nc1c(I)cc(C(=O)O)cc1I,0.16171545736386922,2
21695,F1911-7665,Cc1c(C2CC2)nc2ccc(Cl)nn12,0.16171510079415946,1
21696,F8886-2568,Cc1cccc2ccc(=O)[nH]c12,0.16171410253818255,1
21697,F2198-4068,CC(C)Cc1n[nH]c(C2CCC2)c1CCl,0.16170332798888848,1
21698,F1909-9327,CC(OCC1CCOCC1)C(=O)O,0.1617026143985567,1
21699,F1909-8742,CCOC(=O)C1(Oc2ncccc2Br)CC1,0.16170251876585412,2
21700,F1919-8874,COc1cccc(NC2CC(N)C2)c1C,0.16169967510138744,1
21701,F1916-4054,Cc1cc(C)cc(-c2[nH]ncc2C(N)=O)c1,0.16169705175414756,1
21702,F2198-3468,N#CCCc1c(-c2ccco2)n[nH]c1C1CC1,0.16169392034267774,1
