synthon_smiles,original_smiles,parent_fit_score,parent_n_hits,reactivity,bb_info
O=C(NCC#[CH:20])c1ccc2c(c1)OC(F)(F)O2,C#CCNC(=O)c1ccc2c(c1)OC(F)(F)O2,0.5312686902448241,3,nucleophile,{'Acetylenes_AlkyneCH'}
C#CC[NH:20]C(=O)c1ccc2c(c1)OC(F)(F)O2,C#CCNC(=O)c1ccc2c(c1)OC(F)(F)O2,0.5312686902448241,3,nucleophile,{'Amides_Amides'}
O=C(c1ccc2c(c1)OC(F)(F)O2)[NH:20]CC#[CH:20],C#CCNC(=O)c1ccc2c(c1)OC(F)(F)O2,0.5312686902448241,3,nucleophile,"{'Amides_Amides', 'Acetylenes_AlkyneCH'}"
Fc1ccc(CNc2nc[cH:10]cn2)c(F)c1,Fc1ccc(CNc2ncc(Br)cn2)c(F)c1,0.5309538767917084,3,electrophile,{'ArylHalide_Aryl_halides_Pd'}
Fc1ccc(C[NH:20]c2ncc(Br)cn2)c(F)c1,Fc1ccc(CNc2ncc(Br)cn2)c(F)c1,0.5309538767917084,3,nucleophile,{'SecondaryAmines_secHet-Anilines'}
Fc1ccc(C[NH:20]c2nc[cH:10]cn2)c(F)c1,Fc1ccc(CNc2ncc(Br)cn2)c(F)c1,0.5309538767917084,3,bifunctional,"{'SecondaryAmines_secHet-Anilines', 'ArylHalide_Aryl_halides_Pd'}"
O=C(NCC#[CH:20])c1ccc(F)cc1,C#CCNC(=O)c1ccc(F)cc1,0.530911567072757,3,nucleophile,{'Acetylenes_AlkyneCH'}
C#CC[NH:20]C(=O)c1ccc(F)cc1,C#CCNC(=O)c1ccc(F)cc1,0.530911567072757,3,nucleophile,{'Amides_Amides'}
O=C(c1ccc(F)cc1)[NH:20]CC#[CH:20],C#CCNC(=O)c1ccc(F)cc1,0.530911567072757,3,nucleophile,"{'Amides_Amides', 'Acetylenes_AlkyneCH'}"
COCCc1cc([NH:20]CCN)ncn1,COCCc1cc(NCCN)ncn1,0.530738140797545,3,nucleophile,{'Reagents_DiAmines'}
COCCc1cc([NH:20]CC[NH2:20])ncn1,COCCc1cc(NCCN)ncn1,0.530738140797545,3,nucleophile,{'Reagents_DiAmines'}
COCCc1cc(NCC[NH2:20])ncn1,COCCc1cc(NCCN)ncn1,0.530738140797545,3,nucleophile,{'Reagents_DiAmines'}
Cn1nc(C(=O)O)cc1C1CCCC[NH:20]1,COC(=O)c1cc(C2CCCCN2)n(C)n1,0.5307285728532568,3,nucleophile,{'Bifunctional_Amine_Ester'}
Cn1nc([CH:10]=O)cc1C1CCCC[NH:20]1,COC(=O)c1cc(C2CCCCN2)n(C)n1,0.5307285728532568,3,bifunctional,{'Bifunctional_Amine_Ester'}
CNC(CCOC[CH3:50])c1ccc(OC)c(OC)c1,C=CCOCCC(NC)c1ccc(OC)c(OC)c1,0.5288987609042126,3,unknown,{'Alkenes_AlkenesCH2'}
C=CCOCCC(c1ccc(OC)c(OC)c1)[NH:20]C,C=CCOCCC(NC)c1ccc(OC)c(OC)c1,0.5288987609042126,3,nucleophile,"{'SecondaryAmines_secAliphatic', 'SecondaryAmines_secBenzylic'}"
COc1ccc(C(CCOC[CH3:50])[NH:20]C)cc1OC,C=CCOCCC(NC)c1ccc(OC)c(OC)c1,0.5288987609042126,3,nucleophile,"{'Alkenes_AlkenesCH2', 'SecondaryAmines_secBenzylic', 'SecondaryAmines_secAliphatic'}"
COc1ccc(C(=O)NCC#[CH:20])cn1,C#CCNC(=O)c1ccc(OC)nc1,0.5274931337842064,3,nucleophile,{'Acetylenes_AlkyneCH'}
C#CC[NH:20]C(=O)c1ccc(OC)nc1,C#CCNC(=O)c1ccc(OC)nc1,0.5274931337842064,3,nucleophile,{'Amides_Amides'}
